"cayley_0"	"cayley_1"	"cayley_2"	"cayley_3"	"cayley_4"	"cayley_5"	"cayley_6"	"cayley_7"	"cayley_8"	"cayley_9"	"cayley_10"	"cayley_11"	"cayley_12"	"cayley_13"	"cayley_14"	"cayley_15"	"cayley_16"	"cayley_17"
3881	2838	2688	2814	2167	2350	1449	2884.5	2594	1454	1943.5	1051	1621.5	2758	1368	1229.5	3575	2056
3877.5	2839.5	2686.5	2816	2164.5	2350	1443	2887	2592.5	1453	1943	1051	1622	2757	1369	1227	3568	2056.5
3881	2838	2680.5	2812	2165	2350	1446	2885	2589.5	1453	1942.5	1045	1620.5	2755	1370	1229.5	3566.5	2057.5
3871.5	2839	2686	2814.5	2162.5	2352	1446	2884.5	2593	1451	1941	1052	1627	2756	1366.5	1234	3566	2054
3873.5	2837	2680	2814	2168	2351	1443	2883	2595	1453	1942	1049	1623	2754.5	1370	1224	3571.5	2057
3877	2838	2686	2815	2164	2350	1447	2885	2587	1453	1944	1048	1622	2755	1369	1228	3573	2055
3878.5	2839.5	2684	2812	2162.5	2350	1443.5	2885.5	2593	1452	1944	1049.5	1625.5	2754.5	1367.5	1228	3566	2056.5
3885	2839	2679.5	2816	2162	2349	1449	2885	2590.5	1454	1943	1051.5	1625.5	2758	1370	1228	3566	2054.5
3891	2838	2685	2815	2158	2348	1442	2888	2597	1454	1942	1050	1626	2755	1367	1230	3565	2055
3879	2839	2688	2815	2162	2349	1446	2885	2590	1453	1943	1047	1622	2756	1368	1228	3574	2054
3878	2837	2682	2815	2162	2348	1443	2887	2592	1453	1942	1045	1623	2757	1366	1225	3565	2053
3880	2839	2690	2815	2166	2349	1449	2883	2594	1453	1943	1050	1624	2756	1368	1229	3566	2055
3877	2838	2689	2814	2165	2348	1446	2886	2594	1452	1944	1055	1625	2759	1369	1223	3567	2055
3882	2838	2680	2817	2166	2351	1448	2885	2594	1452	1942	1054	1622	2757	1370	1227	3571	2057
3880.5	2838	2680	2815.5	2164.5	2350	1444.5	2886	2592.5	1452	1943	1051.5	1622.5	2756.5	1368.5	1234	3573	2053.5
3890	2839	2691	2818	2166	2351	1449	2887	2597	1453	1944	1054	1630	2759	1370	1227	3571	2056
3885	2836	2681	2819	2164	2350	1450	2884	2595	1453	1944	1053	1627	2757	1370	1233	3575	2055
3875	2838	2684	2815	2160	2351	1444	2885	2595	1454	1943	1050	1622	2757	1367	1230	3568	2055
3876	2837	2683	2816	2165	2349	1446	2884	2594	1453	1941	1046	1624	2759	1367	1234	3570	2055
3878	2839	2685	2815.5	2164.5	2349	1444	2887	2591	1452	1943	1050.5	1622.5	2757	1368	1228	3571	2056
3882	2839	2691	2816	2164	2351	1444	2883	2593	1453	1942	1054	1625	2756	1370	1229	3568	2057
3874	2840	2690	2814	2165	2349	1446	2885	2592	1451.5	1943	1047.5	1626	2757.5	1367.5	1226	3570	2055.5
3882	2837	2684	2817	2162	2348	1447	2886	2591	1453	1943	1053	1622	2757	1365	1224	3574	2056
3882	2838	2690	2815	2166	2349	1446	2883	2594	1453	1942	1053	1619	2756	1367	1228	3570	2054
3879.5	2837.5	2682	2814	2164.5	2350	1446	2884	2590	1452	1944	1051.5	1622	2756	1368.5	1229	3575	2055
3888	2837	2688	2817	2164	2350	1442	2884.5	2591.5	1453.5	1943	1053	1627.5	2756	1365	1228	3569.5	2055
3885	2839	2689	2816	2165	2349	1447	2886	2590	1451	1946	1054	1623	2755	1369	1226	3571	2055
3881	2838	2682	2819	2165	2347	1444	2885	2591	1454	1942	1055	1625	2757	1369	1225	3567	2054
3877	2839	2684	2814	2162	2349	1447	2883	2592	1453	1945	1047	1615	2757	1367	1224	3566	2056
3890	2836	2684	2814	2163	2349	1443	2887	2595	1455	1943	1050	1628	2756	1369	1228	3567	2056
3876	2837	2683	2812	2164	2350	1449	2886	2592	1454	1945	1048	1621	2758	1367	1224	3567	2057
3884	2839	2690	2817	2168	2351	1447	2885	2593	1453	1942	1049	1620	2759	1370	1225	3574	2056
3883	2838	2681	2816	2162	2349	1441	2884	2592	1455	1944	1053	1622	2757	1365	1226	3567	2053
3879	2838	2681	2816	2166	2348	1444	2883	2596	1452	1943	1047	1622	2757	1366	1233	3576	2055
3877	2839	2686	2818	2161	2349	1446	2885	2594	1452	1944	1054	1626	2758	1368	1228	3566	2055
3880	2839	2690	2817	2165	2349	1443	2887	2592	1453	1944	1054	1620	2756	1366	1224	3567	2054
3889	2839	2685	2812	2162	2351	1446	2886	2592	1454	1944	1053	1623	2756	1367	1225	3568	2057
3877	2838	2690	2814	2162	2351	1448	2885	2593	1454	1943	1051	1622	2755	1365	1229	3569	2055
3882	2837	2683	2816	2164	2350	1448	2887	2595	1452	1944	1057	1628	2757	1366	1229	3572	2054
3883	2839	2681	2814	2159	2350	1441	2885	2590	1453	1946	1055	1622	2757	1367	1229	3575	2057
3878	2839	2689	2817	2165	2349	1447	2884	2591	1453	1943	1050	1625	2757	1367	1231	3568	2056
3879	2837	2680	2816	2164	2350	1446	2886	2595	1454	1944	1047	1625	2757	1366	1225	3567	2054
3883	2838	2680	2815	2161	2350	1449	2886	2590	1454	1942	1051	1624	2755	1367	1225	3569	2056
3882	2837	2681	2815	2164	2351	1446	2885	2590	1454	1946	1048	1623	2757	1367	1224	3571	2056
3878	2838	2683	2814	2166	2349	1446	2886	2593	1452	1945	1047	1621	2757	1370	1229	3572	2055
3882	2837	2678	2815	2163	2350	1447	2885	2595	1452	1942	1049	1624	2759	1369	1234	3577	2056
3886	2839	2681	2813	2163	2351	1444	2886	2593	1454	1946	1045	1620	2757	1367	1226	3568	2054
3883	2837	2683	2816	2161	2351	1449	2885	2591	1453	1946	1048	1620	2758	1368	1235	3579	2057
